TIME,CH1
-3.025e-06,0.02
-3.024e-06,0.0153125
-3.023e-06,0.0174219
-3.022e-06,0.01875
-3.021e-06,0.0207031
-3.020e-06,0.0183594
-3.019e-06,0.018125
-3.018e-06,0.0220313
-3.017e-06,0.021875
-3.016e-06,0.0211719
-3.015e-06,0.0170312
-3.014e-06,0.0142969
-3.013e-06,0.0177344
-3.012e-06,0.0199219
-3.011e-06,0.0221094
-3.010e-06,0.0195312
-3.009e-06,0.0230469
-3.008e-06,0.0172656
-3.007e-06,0.0182812
-3.006e-06,0.0160937
-3.005e-06,0.0205469
-3.004e-06,0.0202344
-3.003e-06,0.0200781
-3.002e-06,0.018125
-3.001e-06,0.0205469
-3.000e-06,0.0202344
-2.999e-06,0.0217188
-2.998e-06,0.0223437
-2.997e-06,0.0210937
-2.996e-06,0.0196094
-2.995e-06,0.0189063
-2.994e-06,0.0201562
-2.993e-06,0.019375
-2.992e-06,0.0239063
-2.991e-06,0.0177344
-2.990e-06,0.0196094
-2.989e-06,0.0186719
-2.988e-06,0.0183594
-2.987e-06,0.0211719
-2.986e-06,0.0177344
-2.985e-06,0.0183594
-2.984e-06,0.0217188
-2.983e-06,0.0208594
-2.982e-06,0.0228125
-2.981e-06,0.0172656
-2.980e-06,0.0197656
-2.979e-06,0.0204687
-2.978e-06,0.0188281
-2.977e-06,0.0209375
-2.976e-06,0.0235156
-2.975e-06,0.0221875
-2.974e-06,0.0225781
-2.973e-06,0.0153906
-2.972e-06,0.020625
-2.971e-06,0.01875
-2.970e-06,0.0220313
-2.969e-06,0.0185156
-2.968e-06,0.0210156
-2.967e-06,0.0221875
-2.966e-06,0.01875
-2.965e-06,0.0230469
-2.964e-06,0.0208594
-2.963e-06,0.0200781
-2.962e-06,0.0195312
-2.961e-06,0.0182812
-2.960e-06,0.0205469
-2.959e-06,0.0207031
-2.958e-06,0.0158594
-2.957e-06,0.0154687
-2.956e-06,0.0207031
-2.955e-06,0.0198437
-2.954e-06,0.0182812
-2.953e-06,0.0180469
-2.952e-06,0.0188281
-2.951e-06,0.0207031
-2.950e-06,0.0178906
-2.949e-06,0.0196094
-2.948e-06,0.0215625
-2.947e-06,0.02125
-2.946e-06,0.0192188
-2.945e-06,0.0182812
-2.944e-06,0.0235937
-2.943e-06,0.0201562
-2.942e-06,0.0177344
-2.941e-06,0.0240625
-2.940e-06,0.0229687
-2.939e-06,0.0171094
-2.938e-06,0.0189844
-2.937e-06,0.016875
-2.936e-06,0.0182812
-2.935e-06,0.0199219
-2.934e-06,0.02125
-2.933e-06,0.0186719
-2.932e-06,0.0184375
-2.931e-06,0.0175
-2.930e-06,0.0203906
-2.929e-06,0.0184375
-2.928e-06,0.0214063
-2.927e-06,0.0214063
-2.926e-06,0.0194531
-2.925e-06,0.0213281
-2.924e-06,0.0188281
-2.923e-06,0.0224219
-2.922e-06,0.0198437
-2.921e-06,0.0191406
-2.920e-06,0.0197656
-2.919e-06,0.0190625
-2.918e-06,0.02
-2.917e-06,0.0224219
-2.916e-06,0.0171094
-2.915e-06,0.021875
-2.914e-06,0.0179687
-2.913e-06,0.0217188
-2.912e-06,0.0196875
-2.911e-06,0.0178125
-2.910e-06,0.0160156
-2.909e-06,0.018125
-2.908e-06,0.0222656
-2.907e-06,0.0177344
-2.906e-06,0.0201562
-2.905e-06,0.0214063
-2.904e-06,0.0203906
-2.903e-06,0.0199219
-2.902e-06,0.0210937
-2.901e-06,0.0182812
-2.900e-06,0.0219531
-2.899e-06,0.020625
-2.898e-06,0.0180469
-2.897e-06,0.01875
-2.896e-06,0.0204687
-2.895e-06,0.0233594
-2.894e-06,0.0205469
-2.893e-06,0.0203125
-2.892e-06,0.0191406
-2.891e-06,0.0185156
-2.890e-06,0.0154687
-2.889e-06,0.0214063
-2.888e-06,0.0191406
-2.887e-06,0.0188281
-2.886e-06,0.0166406
-2.885e-06,0.0182812
-2.884e-06,0.0207031
-2.883e-06,0.0172656
-2.882e-06,0.024375
-2.881e-06,0.0189844
-2.880e-06,0.0177344
-2.879e-06,0.0185156
-2.878e-06,0.0196094
-2.877e-06,0.0183594
-2.876e-06,0.0205469
-2.875e-06,0.0188281
-2.874e-06,0.0205469
-2.873e-06,0.0204687
-2.872e-06,0.0171094
-2.871e-06,0.0228125
-2.870e-06,0.0192188
-2.869e-06,0.0244531
-2.868e-06,0.0195312
